localarea,businesstype,lat,lon
Mount Pleasant,Photography Production and Rehearsal Studio,49.2653416576059,-123.106498611922
Downtown,Photography Production and Rehearsal Studio,49.2813440738251,-123.114604369962
Downtown,Photography Production and Rehearsal Studio,49.2803098063228,-123.122835857511
Grandview-Woodland,Photography Production and Rehearsal Studio,49.268241643919,-123.077005831982
Downtown,Photography Production and Rehearsal Studio,49.2827194846033,-123.112403346739
Sunset,Photography Production and Rehearsal Studio,49.2104332528132,-123.087875480728
Mount Pleasant,Photography Production and Rehearsal Studio,49.2660921837306,-123.098178334342
Grandview-Woodland,Photography Production and Rehearsal Studio,49.2799756947911,-123.076425612496
Downtown,Photography Production and Rehearsal Studio,49.2770380864582,-123.12005515675
Grandview-Woodland,Photography Production and Rehearsal Studio,49.2823956419569,-123.066221813939
Downtown,Photography Production and Rehearsal Studio,49.2836528842254,-123.111896449933
Mount Pleasant,Photography Production and Rehearsal Studio,49.2680908883685,-123.108537776689
Fairview,Photography Production and Rehearsal Studio,49.2670663510306,-123.119922191805
Grandview-Woodland,Photography Production and Rehearsal Studio,49.280574734432,-123.073292721012
Strathcona,Artist Studio,49.2814587178066,-123.090467656513
Mount Pleasant,Artist Studio,49.264431943185,-123.106335248316
Strathcona,Artist Studio,49.2753464157171,-123.08034772838
Strathcona,Artist Studio,49.2744996754006,-123.080122252678
Mount Pleasant,Artist Studio,49.2635085010029,-123.100520867569
Marpole,Artist Studio,49.2048844091453,-123.125850615492
Mount Pleasant,Artist Studio,49.2661133863432,-123.099439481802
Downtown,Artist Studio,49.2786177100595,-123.119554602653
Strathcona,Artist Studio,49.2734212032908,-123.077996802068
Grandview-Woodland,Artist Studio,49.2827699818719,-123.065818218076
Strathcona,Artist Studio,49.2849284282393,-123.096254926349
Grandview-Woodland,Artist Studio,49.2799756947911,-123.076425612496
Mount Pleasant,Artist Studio,49.2670410014274,-123.099738690252
Mount Pleasant,Artist Studio,49.2648687532417,-123.101838694619
Grandview-Woodland,Artist Studio,49.2836557449507,-123.073475462249
Strathcona,Caterer,49.2850824592045,-123.09548799829
Downtown,Caterer,49.2781619356662,-123.125258345422
Downtown,Caterer,49.2813009098269,-123.111240733955
Downtown,Caterer,49.2816881424577,-123.124269959266
Sunset,Caterer,49.2094875291656,-123.084517628397
Marpole,Caterer,49.204449234666,-123.134386487033
Grandview-Woodland,Caterer,49.2836557449507,-123.073475462249
Mount Pleasant,Caterer,49.2636537960398,-123.112415549769
Strathcona,Caterer,49.268793080772,-123.096998054501
Strathcona,Caterer,49.2822075466477,-123.082186029427
Grandview-Woodland,Caterer,49.2782771173275,-123.075645705349
Kensington-Cedar Cottage,Caterer,49.2456392547812,-123.089841648997
Grandview-Woodland,Caterer,49.2782771173275,-123.075645705349
Grandview-Woodland,Caterer,49.2790535398485,-123.076786031443
Strathcona,Caterer,49.2699871455603,-123.095880311818
Strathcona,Caterer,49.2697188361796,-123.098427232213
Grandview-Woodland,Caterer,49.2782771173275,-123.075645705349
Grandview-Woodland,Caterer,49.2836557449507,-123.073475462249
Strathcona,Caterer,49.2813275835791,-123.083454873773
Kensington-Cedar Cottage,Caterer,49.261580734179,-123.057119059475
Kitsilano,Caterer,49.2620553429175,-123.160105616089
Grandview-Woodland,Caterer,49.2834828545579,-123.065982697316
Renfrew-Collingwood,Caterer,49.2606031412959,-123.042424835637
Strathcona,Caterer,49.2798156760712,-123.080794066916
Grandview-Woodland,Caterer,49.2799756947911,-123.076425612496
Fairview,Caterer,49.2639261351559,-123.141479059483
Strathcona,Caterer,49.2816386991242,-123.078844721246
Strathcona,Caterer,49.2699871455603,-123.095880311818
Kitsilano,Caterer,49.2640035049017,-123.180214422108
Grandview-Woodland,Caterer,49.2799756947911,-123.076425612496
Strathcona,Caterer,49.2699871455603,-123.095880311818
Grandview-Woodland,Caterer,49.2782771173275,-123.075645705349
Grandview-Woodland,Caterer,49.2836557449507,-123.073475462249
Grandview-Woodland,Caterer,49.281468181309,-123.063390151665
Mount Pleasant,General Contractor,49.2671237998698,-123.105089537521
Kitsilano,General Contractor,49.2580238077824,-123.16895316229
Fairview,General Contractor,49.2645074188798,-123.123898498644
Downtown,General Contractor,49.2848045499607,-123.115619724804
Mount Pleasant,General Contractor,49.2680001688161,-123.103592497238
Hastings-Sunrise,General Contractor,49.2689115497685,-123.02433942142
Downtown,General Contractor,49.2883558777116,-123.122585601107
Dunbar-Southlands,General Contractor,49.2344581135462,-123.18248972358
Sunset,General Contractor,49.2068090667402,-123.092911507335
Marpole,General Contractor,49.2100109097238,-123.115976004173
Mount Pleasant,General Contractor,49.2677090644919,-123.108982301798
Grandview-Woodland,General Contractor,49.2836654418322,-123.065088793333
Downtown,General Contractor,49.2861303368945,-123.11972958074
Downtown,General Contractor,49.2780751563864,-123.122279674613
Mount Pleasant,General Contractor,49.2667712617782,-123.107163740857
Downtown,General Contractor,49.2877342016388,-123.118192793095
Strathcona,General Contractor,49.268793080772,-123.096998054501
Marpole,General Contractor,49.2074957820319,-123.107697180835
Downtown,General Contractor,49.2840918385298,-123.115121025791
Mount Pleasant,General Contractor,49.2631626838417,-123.101432854785
Kerrisdale,General Contractor,49.2342458465492,-123.153799508839
Kerrisdale,General Contractor,49.2338195457329,-123.152699290344
Downtown,General Contractor,49.2800408534638,-123.124913915747
Downtown,General Contractor,49.2834005265727,-123.117751286267
Hastings-Sunrise,General Contractor,49.2698982645175,-123.02461376193
Mount Pleasant,General Contractor,49.2644219025666,-123.105906469947
Downtown,General Contractor,49.2861823119564,-123.115890648751
Downtown,General Contractor,49.2858641494082,-123.122189505874
Fairview,General Contractor,49.26997660039,-123.141915749072
Mount Pleasant,General Contractor,49.2613158916217,-123.113935739267
Hastings-Sunrise,General Contractor,49.2808705892416,-123.051071462238
Downtown,General Contractor,49.2861303368945,-123.11972958074
West End,General Contractor,49.2866402537813,-123.125263375086
Sunset,General Contractor,49.2242759551699,-123.091200331148
Downtown,General Contractor,49.2758281684172,-123.115629922714
Downtown,General Contractor,49.2899636860931,-123.128048712434
Downtown,General Contractor,49.2846829470474,-123.111888756655
Sunset,General Contractor,49.2242759551699,-123.091200331148
Kitsilano,General Contractor,49.2638356235544,-123.170387043689
Fairview,General Contractor,49.2720566530006,-123.141289038918
Kerrisdale,General Contractor,49.2338195457329,-123.152699290344
Downtown,General Contractor,49.2868596547397,-123.114848088901
Downtown,General Contractor,49.2849835300209,-123.110843128949
Kitsilano,General Contractor,49.263426870986,-123.14790315211
Downtown,General Contractor,49.2865514070226,-123.120915798954
Fairview,General Contractor,49.2636606128266,-123.124648718766
Downtown,General Contractor,49.2861823119564,-123.115890648751
Dunbar-Southlands,General Contractor,49.2350161352437,-123.172422851681
Kitsilano,General Contractor,49.2640322607634,-123.148377656937
Sunset,General Contractor,49.22458455604,-123.102132161983
Fairview,General Contractor,49.2664354360289,-123.135437717516
Hastings-Sunrise,General Contractor,49.2814107693861,-123.050039386374
Downtown,General Contractor,49.2877342016388,-123.118192793095
Marpole,General Contractor,49.2110448675262,-123.10901789419
Fairview,General Contractor,49.2651062561256,-123.142821214231
Renfrew-Collingwood,General Contractor,49.240903077359,-123.05683380935
Renfrew-Collingwood,General Contractor,49.240903077359,-123.05683380935
Mount Pleasant,General Contractor,49.2660921837306,-123.098178334342
Riley Park,General Contractor,49.2417995251105,-123.101829813286
Victoria-Fraserview,General Contractor,49.2258808093489,-123.065338825524
Downtown,General Contractor,49.2875182283394,-123.11723844762
Fairview,General Contractor,49.263970218012,-123.133218152193
Sunset,General Contractor,49.2092615395092,-123.086150537827
Fairview,General Contractor,49.2640358746622,-123.13896811237
Marpole,General Contractor,49.2047524878288,-123.142292025394
Arbutus-Ridge,General Contractor,49.2435662855057,-123.151680007121
Kerrisdale,Consulting and Management Services,49.2342542839622,-123.154769495345
Kitsilano,Retail Dealer - Food,49.2688408027445,-123.185107830935
Downtown,Restaurant,49.2804114853095,-123.12552501795
West Point Grey,Restaurant,49.2635370358037,-123.207835610758
Downtown,Restaurant,49.2843073881504,-123.112916654952
West End,Restaurant,49.2861554000034,-123.125682236504
Riley Park,Restaurant,49.2492416364863,-123.101437392494
Kitsilano,Restaurant,49.2727059364403,-123.149237201142
Downtown,Restaurant,49.2751974657235,-123.122801426708
Mount Pleasant,Restaurant,49.2633110084254,-123.110737112545
Kensington-Cedar Cottage,Restaurant,49.2496605526923,-123.073718062785
Killarney,Restaurant,49.2312518563627,-123.029427084361
West End,Restaurant,49.2902203604981,-123.132894929214
Downtown,Restaurant,49.2797560019035,-123.100566616865
West End,Restaurant,49.2800135666134,-123.130086426676
Strathcona,Restaurant,49.2798127371901,-123.099273627072
West Point Grey,Restaurant,49.2735554462861,-123.204197423848
Downtown,Restaurant,49.2804344855873,-123.120644405199
Fairview,Restaurant,49.2633847570216,-123.145314402694
Strathcona,Restaurant,49.2782812229059,-123.09823594982
Kitsilano,Restaurant,49.2644686258161,-123.176174698847
Grandview-Woodland,Restaurant,49.2809254158072,-123.06340020804
Fairview,Restaurant,49.2636846508241,-123.118042512175
Kitsilano,Restaurant,49.2679753140166,-123.155380944472
West End,Restaurant,49.2908945797069,-123.135868992626
Downtown,Restaurant,49.2839824189482,-123.105433984455
Downtown,Restaurant,49.2823249300832,-123.122898116924
Dunbar-Southlands,Restaurant,49.2464347496115,-123.18546909103
West End,Restaurant,49.2865054386713,-123.127194359708
Mount Pleasant,Restaurant,49.2631758236609,-123.102088975509
Downtown,Restaurant,49.2910496481999,-123.128192196869
Downtown,Restaurant,49.2750639353198,-123.117795849043
Fairview,Restaurant,49.263034798743,-123.122495171733
West End,Restaurant,49.2797042382855,-123.129591896776
Downtown,Restaurant,49.2829892070213,-123.121818219523
Fairview,Restaurant,49.2659657945728,-123.138901960621
Strathcona,Restaurant,49.2750616273734,-123.099511263654
Kitsilano,Restaurant,49.264533130741,-123.180746188728
Fairview,Restaurant,49.2635545600534,-123.117276077415
Kerrisdale,Restaurant,49.2338759379002,-123.154087360005
Riley Park,Restaurant,49.2470270736504,-123.090580920523
Downtown,Restaurant,49.2739466252971,-123.120283822192
Downtown,Restaurant,49.276821015486,-123.126109158793
Kitsilano,Restaurant,49.2635409232546,-123.154715443929
Kitsilano,Restaurant,49.2635294973264,-123.154117930265
Downtown,Restaurant,49.2798833507362,-123.12147734521
Grandview-Woodland,Restaurant,49.2655743627261,-123.070062282626
Downtown,Restaurant,49.284669320783,-123.109274169174
Fairview,Restaurant,49.2694355739826,-123.140518362411
Arbutus-Ridge,Restaurant,49.2348517158637,-123.156748642132
Downtown,Restaurant,49.2816881424577,-123.124269959266
Sunset,Restaurant,49.2289540456943,-123.091068679701
Riley Park,Restaurant,49.2543711087652,-123.1011608176
West End,Restaurant,49.2906119866483,-123.137141470731
Riley Park,Restaurant,49.2528109326115,-123.100552833141
Fairview,Restaurant,49.2637421269444,-123.129795763534
Riley Park,Restaurant,49.2470260831384,-123.100801596031
Downtown,Restaurant,49.2855753024676,-123.111518282345
Strathcona,Restaurant,49.2828588602465,-123.095945318765
Strathcona,Restaurant,49.2816272674576,-123.077794506456
Kensington-Cedar Cottage,Restaurant,49.2473656838586,-123.0693403444
Marpole,Restaurant,49.2114901571015,-123.140028432622
West End,Restaurant,49.2887494013154,-123.131856290446
Kitsilano,Restaurant,49.2637290366541,-123.185425824697
West End,Restaurant,49.2918436174574,-123.135452700524
Mount Pleasant,Restaurant,49.2633751197018,-123.114145329076
Strathcona,Restaurant,49.2809238719075,-123.099225713231
West End,Restaurant,49.2899244915969,-123.133768000872
Downtown,Restaurant,49.2782340578147,-123.117395131475
Downtown,Restaurant,49.2881583053534,-123.116590608283
Strathcona,Restaurant,49.2719787198568,-123.097489979909
Sunset,Restaurant,49.2190156820785,-123.102285212614
Mount Pleasant,Restaurant,49.2635085010029,-123.100520867569
Mount Pleasant,Restaurant,49.2570695356725,-123.101748807393
Downtown,Restaurant,49.2737894721908,-123.123706981752
Grandview-Woodland,Restaurant,49.2744267502651,-123.069180550206
Kensington-Cedar Cottage,Restaurant,49.2541657843658,-123.085175525571
West End,Restaurant,49.2918436174574,-123.135452700524
Kitsilano,Restaurant,49.2637884778998,-123.167521679629
Kitsilano,Restaurant,49.2717908439869,-123.190932749982
Kensington-Cedar Cottage,Restaurant,49.2435188204711,-123.062461424391
Downtown,Restaurant,49.2781970233672,-123.113580404576
Downtown,Restaurant,49.2833207639033,-123.109436135471
Shaughnessy,Restaurant,49.2348060104618,-123.153540691527
Grandview-Woodland,Restaurant,49.2665092127226,-123.069351978091
Downtown,Restaurant,49.2750076198637,-123.121996984635
South Cambie,Restaurant,49.2497174505015,-123.115832149228
Downtown,Restaurant,49.283556274648,-123.106285943668
Hastings-Sunrise,Restaurant,49.2814270854333,-123.049750524397
Mount Pleasant,Restaurant,49.2580180037503,-123.100810923562
Killarney,Restaurant,49.2329336430889,-123.034953638269
Kensington-Cedar Cottage,Restaurant,49.2334267334709,-123.06595558968
Kitsilano,Restaurant,49.2695345271084,-123.145941409996
Downtown,Restaurant,49.2787373080588,-123.115019195069
Downtown,Restaurant,49.2751484139772,-123.120702300081
West End,Restaurant,49.2909006103342,-123.133822927846
Downtown,Restaurant,49.280289660285,-123.106751856679
Strathcona,Restaurant,49.2806779537935,-123.080226210625
Riley Park,Restaurant,49.2554304743023,-123.114727961448
Kitsilano,Restaurant,49.2639185624306,-123.174590723958
Renfrew-Collingwood,Restaurant,49.2373636721083,-123.049109159462
Downtown,Restaurant,49.2829952538699,-123.103331359598
Hastings-Sunrise,Restaurant,49.2687472419072,-123.056139458837
West End,Restaurant,49.2914711340769,-123.13589931959
Kitsilano,Restaurant,49.2688426923623,-123.185382361034
West Point Grey,Restaurant,49.2637251433518,-123.1871098748
Kitsilano,Restaurant,49.2642725194232,-123.164964460374
Dunbar-Southlands,Restaurant,49.2560768401512,-123.18473632075
Riley Park,Restaurant,49.2559014500719,-123.101578102188
Downtown,Restaurant,49.2817925052458,-123.1041269602
West End,Restaurant,49.2793924532743,-123.130290478223
West End,Restaurant,49.2909006103342,-123.133822927846
Marpole,Restaurant,49.2108943771512,-123.107442608386
Sunset,Restaurant,49.224753283341,-123.091161903356
Hastings-Sunrise,Restaurant,49.2689403843011,-123.045648255321
Kitsilano,Restaurant,49.263810361829,-123.169465650562
Downtown,Restaurant,49.2810970898114,-123.118820131479
Grandview-Woodland,Restaurant,49.2645261603594,-123.069347288341
Grandview-Woodland,Restaurant,49.2749718746189,-123.069153817012
West End,Restaurant,49.2905698631433,-123.133320534088
Downtown,Restaurant,49.2737223197334,-123.133419458202
Kitsilano,Restaurant,49.2683095941102,-123.148155799163
Kitsilano,Restaurant,49.2643631219918,-123.170373891816
Downtown,Restaurant,49.2897103038362,-123.116072975671
Downtown,Restaurant,49.2925589265852,-123.1292840293
Downtown,Restaurant,49.2818433477786,-123.118522373666
Kensington-Cedar Cottage,Restaurant,49.2443089207207,-123.062703572485
Grandview-Woodland,Restaurant,49.2809470551815,-123.073883852401
Kensington-Cedar Cottage,Restaurant,49.2610160596369,-123.070078520672
Strathcona,Restaurant,49.2850824592045,-123.09548799829
Fairview,Restaurant,49.2633847570216,-123.145314402694
West End,Restaurant,49.2804285108261,-123.131835590065
Kerrisdale,Restaurant,49.2339471511796,-123.140138355838
Dunbar-Southlands,Restaurant,49.2344948716875,-123.18454297863
Killarney,Restaurant,49.2190880619162,-123.040183228366
West End,Restaurant,49.2890051115596,-123.131006004505
West End,Restaurant,49.2845320607515,-123.124166428666
Shaughnessy,Restaurant,49.2484313407603,-123.142261499136
Downtown,Restaurant,49.2863485472431,-123.116904180324
Kitsilano,Restaurant,49.2679308099265,-123.157021355411
Downtown,Restaurant,49.2787373080588,-123.115019195069
Downtown,Restaurant,49.28601144035,-123.116426888914
Victoria-Fraserview,Restaurant,49.2323815522601,-123.065155658488
Fairview,Restaurant,49.2636421991807,-123.120416672476
Downtown,Restaurant,49.2875182283394,-123.11723844762
Downtown,Restaurant,49.278326323664,-123.116209372786
Mount Pleasant,Restaurant,49.2590102630293,-123.100814071519
Fairview,Restaurant,49.2632578263335,-123.136453991444
Downtown,Restaurant,49.280289660285,-123.106751856679
Strathcona,Restaurant,49.268793080772,-123.096998054501
Downtown,Restaurant,49.2770193392467,-123.129734870585
Marpole,Restaurant,49.2040702255569,-123.135012244527
Fairview,Restaurant,49.2656754688009,-123.122196400199
Downtown,Restaurant,49.2785497028978,-123.124698501144
Mount Pleasant,Restaurant,49.2574912539043,-123.090934351286
Mount Pleasant,Restaurant,49.2575375259592,-123.114788421625
Downtown,Restaurant,49.279202307457,-123.122508356606
Downtown,Restaurant,49.2780751563864,-123.122279674613
Downtown,Restaurant,49.280172857448,-123.122222494383
Mount Pleasant,Restaurant,49.2635085010029,-123.100520867569
Mount Pleasant,Restaurant,49.2670975377323,-123.103561026979
Fairview,Restaurant,49.2637053952125,-123.127285041796
Kensington-Cedar Cottage,Restaurant,49.2494348951624,-123.089686080028
Kitsilano,Restaurant,49.2683281653394,-123.149430089348
Riley Park,Restaurant,49.255194674407,-123.100883834544
Kerrisdale,Restaurant,49.2342611476,-123.156006486976
Kensington-Cedar Cottage,Restaurant,49.2334267334709,-123.06595558968
Mount Pleasant,Restaurant,49.2695134910749,-123.103314362225
Renfrew-Collingwood,Restaurant,49.2450023376084,-123.024233346325
Grandview-Woodland,Restaurant,49.2759223220914,-123.069874649498
Downtown,Restaurant,49.2754477476154,-123.121328560504
Downtown,Restaurant,49.2877708081536,-123.123436059761
West End,Restaurant,49.2911095836475,-123.13431340431
Kensington-Cedar Cottage,Restaurant,49.2328780253591,-123.065967359007
Downtown,Restaurant,49.2799917538749,-123.123326449381
Downtown,Restaurant,49.2805445625281,-123.117746480111
Downtown,Restaurant,49.2801415364825,-123.109558247001
West Point Grey,Restaurant,49.2682107732898,-123.186381396543
Mount Pleasant,Restaurant,49.2599367731609,-123.10150893864
West End,Restaurant,49.2861768030616,-123.127868147055
Mount Pleasant,Restaurant,49.2628667563496,-123.112465949503
Killarney,Restaurant,49.2314325226326,-123.028251705021
Renfrew-Collingwood,Restaurant,49.2606031412959,-123.042424835637
Downtown,Restaurant,49.2801569324382,-123.101177581248
Riley Park,Restaurant,49.2544365597982,-123.114697431721
Riley Park,Restaurant,49.2333450002721,-123.1011238782
Kensington-Cedar Cottage,Restaurant,49.2593315657396,-123.069432709316
Mount Pleasant,Restaurant,49.2570695356725,-123.101748807393
Downtown,Restaurant,49.2863311263477,-123.123373199272
West End,Restaurant,49.2879253066379,-123.140402598667
Downtown,Restaurant,49.2801628817922,-123.101491515653
Downtown,Restaurant,49.2750076198637,-123.121996984635
Grandview-Woodland,Restaurant,49.2736091294491,-123.069260915126
West End,Restaurant,49.2803103496075,-123.130528696186
Mount Pleasant,Restaurant,49.2695306827381,-123.108503724008
Grandview-Woodland,Restaurant,49.2788410157399,-123.070747507771
West End,Restaurant,49.2861768030616,-123.127868147055
Kerrisdale,Restaurant,49.2321417650711,-123.156080648747
West End,Restaurant,49.2910810264769,-123.136430569749
West End,Restaurant,49.2886924180381,-123.130564024788
Grandview-Woodland,Restaurant,49.2851092508019,-123.064085814003
Killarney,Restaurant,49.2062441706766,-123.029971795947
Renfrew-Collingwood,Restaurant,49.233107255511,-123.033044874797
Mount Pleasant,Restaurant,49.2636537960398,-123.112415549769
Downtown,Restaurant,49.283419005557,-123.115277310954
Renfrew-Collingwood,Restaurant,49.2324877144288,-123.031900267904
Downtown,Restaurant,49.2788370062956,-123.128064738975
West End,Restaurant,49.2861554000034,-123.125682236504
Downtown,Restaurant,49.278326323664,-123.116209372786
West End,Restaurant,49.2856098196541,-123.126970559037
Downtown,Restaurant,49.2773532530171,-123.127305544148
Dunbar-Southlands,Restaurant,49.2453505648038,-123.185618899616
Hastings-Sunrise,Restaurant,49.2814073141589,-123.046084334145
West End,Restaurant,49.290231453698,-123.131785569508
Renfrew-Collingwood,Restaurant,49.2606031412959,-123.042424835637
Kerrisdale,Restaurant,49.231292612726,-123.156073949042
Fairview,Restaurant,49.2629292228399,-123.116555459207
Downtown,Restaurant,49.2856785819981,-123.115908939241
Grandview-Woodland,Restaurant,49.2724432884134,-123.069979918319
Kensington-Cedar Cottage,Restaurant,49.2558469932365,-123.087209884646
Downtown,Restaurant,49.2760867503332,-123.119287202894
